ID,Title,Authors,Year,Publication platform,URL,DOI
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,"Oseni, Ayodeji; Moustafa, Nour;Janicke, Helge; Liu, Peng; Tari, Zahir; Vasilakos, Athanasios",2021,arxiv.org,,https://doi.org/10.48550/arXiv.2102.04661
2,Privacy and artificial intelligence,"Curzon, James; Kosa, Tracy Ann ; Akalu, Rajen ; El-Khatib, Khalil",2021,IEEE Transactions on Artificial Intelligence,,https://doi.org/10.1109/TAI.2021.3088084
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective","Li, Xiuquan; Zhang, Tao",2017,2017 IEEE 2nd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),,https://doi.org/10.1109/ICCCBDA.2017.7951949
4,Privacy-preserving AI for future networks,"Perino, Diego ; Katevas, Kleomenis ; Lutu, Andra ; Marin, Eduard ; Kourtellis, Nicolas",2022,Communications of the ACM,,https://doi.org/10.1145/3512343
5,Multi-step jailbreaking privacy attacks on chatgpt,"Li, Haoran ; Guo, Dadi ; Fan, Wei ;Xu, Mingshi ; Huang, Jie ;Meng, Fanpu; Song, Yangqiu",2023,arxiv.org,,https://doi.org/10.48550/arXiv.2304.05197
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,"Zhang, Zhibo ; Al Hamadi, Hussam ; Damiani, Ernesto ; Yeun, Chan Yeob ; Taher, Fatma",2022,IEEE Access,,https://doi.org/10.1109/ACCESS.2022.3204051
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,"Gupta, Maanak ; Akiri, CharanKumar ; Aryal, Kshitiz ;Parker, Eli ;Praharaj, Lopamudra",2023,IEEE Access,,https://doi.org/10.1109/ACCESS.2023.3300381
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,"Giordano, Giammaria ; Palomba, Fabio ; Ferrucci, Filomena",2022,Journal of Systems and Software,,https://doi.org/10.1016/j.jss.2022.111475
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,"Elhoseny, Mohamed ; Haseeb, Khalid ; Shah, Asghar Ali ; Ahmad, Irshad ; Jan, Zahoor ; Alghamdi, Mohammed I",2021,Energies,,https://doi.org/10.3390/en14175364
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,"Xiao, Liang ; Wan, Xiaoyue ; Lu, Xiaozhen ; Zhang, Yanyong ; Wu, Di",2018,IEEE Signal Processing Magazine,,https://doi.org/10.1109/MSP.2018.2825478
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,"Khalid, Nazish ; Qayyum, Adnan ;Bilal, Muhammad ;Al-Fuqaha, Ala ; Qadir, Junaid",2023,Computers in Biology and Medicine,,https://doi.org/10.1016/j.compbiomed.2023.106848
12,Privacy-preserving AI services through data decentralization,"Meurisch, Christian ; Bayrak, Bekir ; Muhlhauser, Max",2020,Proceedings of The Web Conference 2020,,https://doi.org/10.1145/3366423.3380106
13,Federated learning for privacy-preserving AI,"Cheng, Yong ; Liu, Yang ; Chen, Tianjian ;Yang, Qiang",2020,Communications of the ACM,,http://dx.doi.org/10.1145/3387107
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,"Zhang, Yi ; Wu, Mengjia ; Tian, George Yijun ; Zhang, Guangquan ; Lu, Jie",2021,Knowledge-Based Systems,,https://doi.org/10.1016/j.knosys.2021.106994
