Paper ID,Paper Title,Action ID,Action Description
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,1,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,2,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,3,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,4,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,5,
2,Privacy and artificial intelligence,1,
2,Privacy and artificial intelligence,4,
2,Privacy and artificial intelligence,5,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",1,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",2,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",3,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",4,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",5,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",6,
4,Privacy-preserving AI for future networks,1,
4,Privacy-preserving AI for future networks,2,
4,Privacy-preserving AI for future networks,5,
5,Multi-step jailbreaking privacy attacks on chatgpt,1,
5,Multi-step jailbreaking privacy attacks on chatgpt,2,
5,Multi-step jailbreaking privacy attacks on chatgpt,3,
5,Multi-step jailbreaking privacy attacks on chatgpt,4,
5,Multi-step jailbreaking privacy attacks on chatgpt,5,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,1,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,2,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,3,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,4,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,5,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,1,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,2,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,3,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,4,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,5,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,6,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,1,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,2,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,3,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,4,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,5,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,1,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,2,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,3,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,4,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,5,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,1,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,2,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,5,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,1,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,2,
