Paper ID,Paper Title,Approach ID,Approach description
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,1,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,2,
2,Privacy and artificial intelligence,1,
2,Privacy and artificial intelligence,4,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",3,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",4,
4,Privacy-preserving AI for future networks,1,
4,Privacy-preserving AI for future networks,4,
5,Multi-step jailbreaking privacy attacks on chatgpt,1,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,2,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,4,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,1,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,2,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,1,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,2,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,4,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,1,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,4,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,1,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,4,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,2,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,3,
12,Privacy-preserving AI services through data decentralization,1,
12,Privacy-preserving AI services through data decentralization,4,
13,Federated learning for privacy-preserving AI,1,
13,Federated learning for privacy-preserving AI,2,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,1,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",2,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",4,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,1,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,4,
17,Privacy and security of big data in AI systems: A research and standards perspective,1,
17,Privacy and security of big data in AI systems: A research and standards perspective,2,
17,Privacy and security of big data in AI systems: A research and standards perspective,4,
18,Undermining user privacy on mobile devices using AI,1,
18,Undermining user privacy on mobile devices using AI,2,
18,Undermining user privacy on mobile devices using AI,3,
18,Undermining user privacy on mobile devices using AI,4,
19,AI-enabled automation for completeness checking of privacy policies,1,
19,AI-enabled automation for completeness checking of privacy policies,4,
20,Privacy Protection Technology in the Age of AI,2,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,2,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,4,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,1,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,4,
23,Artificial intelligence and consumer privacy,1,
24,Review of artificial intelligence adversarial attack and defense technologies,1,
24,Review of artificial intelligence adversarial attack and defense technologies,2,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,1,
25,Adversarial attacks and defenses in deep learning: From a perspective of cybersecurity,4,
26,A Game Theory Approach for Assisting Humans in Online Information-Sharing,2,
