Paper ID,Paper Title,Domain ID,Domain description
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,1,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,2,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,4,
1,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,5,
2,Privacy and artificial intelligence,1,
2,Privacy and artificial intelligence,2,
2,Privacy and artificial intelligence,4,
2,Privacy and artificial intelligence,5,
2,Privacy and artificial intelligence,6,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",1,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",2,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",3,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",4,
3,"An exploration on artificial intelligence application: From security, privacy and ethic perspective",5,
4,Privacy-preserving AI for future networks,1,
5,Multi-step jailbreaking privacy attacks on chatgpt,1,
5,Multi-step jailbreaking privacy attacks on chatgpt,2,
5,Multi-step jailbreaking privacy attacks on chatgpt,3,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,1,
6,Explainable artificial intelligence applications in cyber security: State-of-the-art in research,2,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,1,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,2,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,3,
7,From ChatGPT to ThreatGPT: Impact of generative AI in cybersecurity and privacy,7,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,1,
8,On the use of artificial intelligence to deal with privacy in IoT systems: A systematic literature review,7,
9,IoT solution for AI-enabled PRIVACY-PREServing with big data transferring: an application for healthcare using blockchain,7,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,1,
10,IoT security techniques based on machine learning: How do IoT devices use AI to enhance security?,7,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,1,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,2,
11,Privacy-preserving artificial intelligence in healthcare: Techniques and applications,7,
12,Privacy-preserving AI services through data decentralization,1,
12,Privacy-preserving AI services through data decentralization,7,
13,Federated learning for privacy-preserving AI,1,
13,Federated learning for privacy-preserving AI,4,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,1,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,4,
14,Ethics and privacy of artificial intelligence: Understandings from bibliometrics,6,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",1,
15,"Smart contract privacy protection using AI in cyber-physical systems: tools, techniques, and challenges",7,
16,Toward a Comprehensive Framework for Ensuring Security and Privacy in Artificial Intelligence,1,
17,Privacy and security of big data in AI systems: A research and standards perspective,1,
17,Privacy and security of big data in AI systems: A research and standards perspective,6,
18,Undermining user privacy on mobile devices using AI,1,
19,AI-enabled automation for completeness checking of privacy policies,1,
19,AI-enabled automation for completeness checking of privacy policies,2,
19,AI-enabled automation for completeness checking of privacy policies,3,
20,Privacy Protection Technology in the Age of AI,1,
21,Privacy in AI and the IoT: The privacy concerns of smart speaker users and the Personal Information Protection Law in China,7,
22,Taking AI personally: how the EU must learn to balance the interests of personal data privacy & artificial intelligence,1,
23,Artificial intelligence and consumer privacy,7,
